,0
enerji-uretim-ve-dagitim/BIGEN (TRY),35.54395923390624
gayrimenkul/RGYAS (TRY),35.393804110529715
kagit-ve-kagit-urunleri/ALKA (TRY),35.27725935467336
bilisim-ve-yazilim/KFEIN (TRY),35.128231051987136
ilac-ve-saglik/GENIL (TRY),35.11379057413996
enerji-teknolojileri/YEOTK (TRY),34.733993519547774
kimya-ve-plastik/GUBRF (TRY),34.67884276549975
savunma/OTKAR (TRY),34.62018300316537
haberlesme/ALCTL (TRY),34.27991185839559
holding/MZHLD (TRY),34.062827155083
toptan-ve-perakende-ticaret/INDES (TRY),34.0607846449107
enerji-uretim-ve-dagitim/TATEN (TRY),34.00487479888675
kimya-ve-plastik/SEYKM (TRY),33.887241455687274
turizm/MAALT (TRY),33.82311191768733
mobilya-ve-dekorasyon/YATAS (TRY),33.766556263026715
kimya-ve-plastik/EKIZ (TRY),33.49911537416256
imalat/POLTK (TRY),33.33834873279938
cam-seramik-porselen/KUTPO (TRY),33.141525429584476
toptan-ve-perakende-ticaret/INGRM (TRY),33.11096972555947
enerji-uretim-ve-dagitim/BASGZ (TRY),33.03562382313327
tas-toprak-cimento/CIMSA (TRY),32.98749286591255
araci-kurum/INFO (TRY),32.89348020898576
kagit-ve-kagit-urunleri/KARTN (TRY),32.84069038030962
metal-esya-ve-makine/BMSCH (TRY),32.82222666948473
tas-toprak-cimento/OYAKC (TRY),32.81642814618614
metal-esya-ve-makine/KLMSN (TRY),32.70638098821365
menkul-kiymet-yatirim-ortakligi/ATLAS (TRY),32.62841472760344
araci-kurum/GEDIK (TRY),32.54954868383038
tas-toprak-cimento/BOBET (TRY),32.501027057496266
imalat/DOFER (TRY),32.46771245839313
kagit-ve-kagit-urunleri/TEZOL (TRY),32.29888023972477
gida-ve-icecek/BIGCH (TRY),32.161494195183295
madencilik-ve-tas-ocakciligi/SARKY (TRY),32.13401195378414
enerji-uretim-ve-dagitim/ENJSA (TRY),32.0985606475088
kimya-ve-plastik/KMPUR (TRY),32.08449205811634
imalat/BVSAN (TRY),32.03341032893962
mobilya-ve-dekorasyon/ORMA (TRY),31.989614628217392
gida-ve-icecek/BANVT (TRY),31.799221218027746
ulastirma/HOROZ (TRY),31.7390285715636
araci-kurum/A1CAP (TRY),31.49688451147875
kagit-ve-kagit-urunleri/HURGZ (TRY),31.479639790177956
enerji-uretim-ve-dagitim/ARASE (TRY),31.325970619797673
metal-esya-ve-makine/ULUSE (TRY),31.25329050622406
gida-ve-icecek/SEGMN (TRY),31.077209137179583
mobilya-ve-dekorasyon/GENTS (TRY),31.043350267042978
tas-toprak-cimento/CMBTN (TRY),30.933754564386938
gayrimenkul/AVGYO (TRY),30.88040187684713
gida-ve-icecek/KERVT (TRY),30.7838855630373
gida-ve-icecek/ARMGD (TRY),30.676332142769162
holding/DOHOL (TRY),30.67417120432625
tas-toprak-cimento/LMKDC (TRY),30.42801711685648
savunma/ONRYT (TRY),30.37078718413139
imalat/KRDMB (TRY),30.13809294608489
imalat/KRDMA (TRY),30.13809294608489
imalat/KRDMD (TRY),30.13809294608489
kimya-ve-plastik/CASA (TRY),30.082400927191117
haberlesme/KRONT (TRY),30.00392008979436
tekstil-giyim-ve-deri/ARSAN (TRY),29.954822872100333
bilisim-ve-yazilim/ODINE (TRY),29.941167947140524
ilac-ve-saglik/ONCSM (TRY),29.82208283326486
gayrimenkul/VRGYO (TRY),29.809604054875663
girisim-sermayesi-yatirim-ortakligi/VERTU (TRY),29.76852679128398
girisim-sermayesi-yatirim-ortakligi/HDFGS (TRY),29.711223914911407
bilisim-ve-yazilim/ESCOM (TRY),29.666500275288996
gida-ve-icecek/ATAKP (TRY),29.626549821689363
imalat/MEKAG (TRY),29.573020644159612
kimya-ve-plastik/ALKIM (TRY),29.570776199280864
gayrimenkul/DZGYO (TRY),29.44612151857703
otomotiv-yan-sanayi/BALAT (TRY),29.405030575899303
tekstil-giyim-ve-deri/SNPAM (TRY),29.351531916814665
enerji-uretim-ve-dagitim/NATEN (TRY),29.23241135939177
gayrimenkul/KZGYO (TRY),29.20042491152009
toptan-ve-perakende-ticaret/KIMMR (TRY),29.174762296258372
turizm/AYCES (TRY),29.171892077851705
kimya-ve-plastik/KLKIM (TRY),29.08333223164158
tekstil-giyim-ve-deri/MEGAP (TRY),29.050736580760805
bilisim-ve-yazilim/SMART (TRY),28.920054875050795
gayrimenkul/YGGYO (TRY),28.767023671474796
insaat/PAMEL (TRY),28.603593823903346
imalat/KCAER (TRY),28.535927930061884
bilisim-ve-yazilim/OBASE (TRY),28.533232697771087
enerji-teknolojileri/EKOS (TRY),28.337132305008016
enerji-uretim-ve-dagitim/CANTE (TRY),28.317867559267384
gida-ve-icecek/FRIGO (TRY),28.28780069400672
savunma/ALTNY (TRY),28.025783425352785
ambalaj/BARMA (TRY),27.802564559588085
toptan-ve-perakende-ticaret/LYDHO (TRY),27.76672402144575
kimya-ve-plastik/ISSEN (TRY),27.721337000728095
enerji-teknolojileri/KLYPV (TRY),27.53536157577709
insaat/IHLGM (TRY),27.376869656085027
tas-toprak-cimento/MARBL (TRY),27.35848947658271
gida-ve-icecek/ULUUN (TRY),27.258188994992388
destek-ve-hizmet/FLAP (TRY),27.217627502348932
giyim-tekstil-ve-deri-urunleri-perakendeciligi/KOTON (TRY),27.0820551397238
tas-toprak-cimento/BTCIM (TRY),26.982911014070634
