,Amortisman/Kar,Arge/Kar,Brüt Kar/Hasılat,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması,Pazarlama/Kar,Sermaye Harcaması/Dönem Net,Yönetim/Kar
faktoring,,,,0.5675080639831378,0.0885645031985797,,,4.232314840296858,,,,
destek-ve-hizmet,0.2716302736650476,0.0,0.6149503366451529,-0.6678613791020164,0.053684229506346166,0.11846192464366555,636530604.5714285,1.5212890466286637,-3.8525353558849873,-0.06454626200549203,2.8398521930618332,-0.4583583221122965
tasarruf-finansman,,,,0.4407587137394778,0.11418827502821156,,,11.999253977777778,,,,
gayrimenkul,inf,0.0,0.9934255380829375,inf,0.03704031556595903,0.15327269343203098,8323980723.388889,2.825491473951659,-0.288476879769896,-inf,-0.053174964897668237,-inf
ambalaj,0.2057810736321489,-0.014401550622350375,0.4886496429463859,-0.1027108985376947,-0.046740265081322785,0.3885230944449981,418662303.6,-0.701385403069856,-4.637351617221556,-0.21239274484748333,-4.184802325121295,-0.23329872097955134
otomotiv-yan-sanayi,0.28859007139917187,-0.04332906271751599,0.2104312469143783,-0.014431668506266968,0.013892399756184304,0.6017562032610289,1956924714.1666667,22.943963262192764,-0.2704840722575157,-0.2347824028882204,0.06251057390963617,-0.07557053958243597
enerji-uretim-ve-dagitim,0.7384652497895461,-0.0005587967081656003,0.4580855456292616,0.4697198830805726,0.0003907522740804743,0.41881060020128913,9512051285.264706,14.546664494484942,-3.05872315332497,-0.018055165616799734,-1.7788290181036917,-0.29104058220548223
enerji-teknolojileri,0.08814010906883735,-0.013767348352936897,0.443839100080369,0.10749151615911852,0.04151913652543989,0.7364721398431576,2825076538.9,1.1006450176679652,-2.6852835995728794,-0.08264015261134271,-4.689645355489446,-0.11003023728355846
madencilik-ve-tas-ocakciligi,-0.19741183390122977,-0.09263677157702538,0.4370374032521244,-0.09346767576314063,0.00489376974603211,0.18267595647007864,7811260320.166667,2.4581821107382043,-6.679236398748896,-0.03959788020132025,-1.6011706687273544,0.26024125537745574
kimya-ve-plastik,inf,0.0011802772126894886,0.3657312323981367,inf,0.011919676870600217,0.4047279432551305,10158901693.305555,0.3674604132957652,-1.1743300243132775,-0.13702269796437938,-4.735573644030127,-inf
araci-kurum,0.013608462656525057,-0.0008012903073260343,inf,0.04901423305226069,0.03401532672735531,0.7039974486193982,2597225613.285714,1.1698738822521026,0.5171510414794479,-0.04792293405731856,0.08488581508575077,-0.18824367736185238
girisim-sermayesi-yatirim-ortakligi,inf,0.0,1.4384885927559834,-inf,-0.022659552510283933,0.05665131362484385,3856243380.25,-0.901546390697143,-0.6271692906911914,0.0,-0.25921984585051594,-inf
cam-seramik-porselen,6.082197302983442,-1.286930893582525,0.3884942171924095,-27.96129812387978,-0.07542831317165749,0.4411117613265055,1397530207.875,-0.7793779735441139,-1.6692886131082965,-10.122521696051088,0.0558780643453097,-8.11207984835283
spor,-0.5136252094628926,0.0,-0.47257006254115624,-0.13730707604668205,0.015193599994811484,-1.2917896690957618,-7263711203.0,1.6507903554498455,-1.030187513505005,0.19688879248658825,1.3623877298766827,0.1376006928543535
holding,,-0.005121708930110701,inf,,-0.04241981203833615,0.4403467920758476,21481855216.714287,-0.41944754088019515,-8.032028533285738,-0.21421143939360257,-4.834119455539995,-inf
imalat,15.63744363340897,-0.024674897336215407,0.3172874505564676,-33.608718262295184,0.007429696457505875,0.5638206011355746,14095371391.59091,3.476214727580137,-3.16636478013957,-5.190849998547967,-0.12582422631790172,-11.827742054478712
insaat,inf,-0.001686286120086616,0.223630223798111,inf,0.011847131679087936,0.23979335078896138,15054223205.5625,-55.19463148366962,-62.19151064841248,-0.06833155731361625,-0.5906591273389434,-inf
bilisim-ve-yazilim,1.3743200567785938,-0.5369351077375523,0.8742213362412206,-2.348157732213145,0.05715396888021766,0.23539664753641054,577532837.5454545,2.288898973409982,-3.377568721414117,-0.7171339964351083,-1.963393202184769,-2.5654488272395626
