,Brüt Kar/Hasılat,Yönetim/Kar,Pazarlama/Kar,Arge/Kar,Amortisman/Kar,Dönem Net/Brüt Kar,Dönem Net/Toplam Varlık,Finansal Borç/Özkaynak,Sermaye Harcaması/Dönem Net,Geçmiş Yıl Kar + Yedek Akçe,Hisse Başı Kazanç,Hisse Başı Sermaye Harcaması
IHEVA (TRY),0.2724131072897159,-0.12463955116657471,-0.10294558228517073,-0.05430971844413959,0.11430712499114996,0.07294576626447191,0.02684993135428032,0.05834886441462683,-1.0937616832799748,-3101419500.0,0.16327880171184023,-0.1785880970042796
TUCLK (TRY),0.30338164253961136,-0.15433772215858174,-0.1380441573219423,0.0,0.21649399223217133,0.35705362253524453,0.038864817152555145,0.685506975352391,-0.3682202964991406,999457308.0,0.9713991055555555,-0.35768886666666666
KCAER (TRY),0.31771195373582484,-0.0612348058919467,-0.1604369826921821,-0.002828395398502216,0.057700374641303495,0.013564849170135352,0.004188110463338481,0.4937833520667768,-12.816837876313196,4964588363.0,0.043288913315926894,-0.5548269838120105
EREGL (TRY),0.19606595983513472,-0.133882730195509,-0.051422762480077086,-0.008387844118283971,0.22088000342321198,0.33695613269825286,0.0317089578826578,0.5118781446351462,-2.5967599827554335,131847100000.0,1.9259068571428573,-5.001117857142857
ERBOS (TRY),0.21342487518956094,-0.04821346161887483,-0.2969534676067837,0.0,0.0,-0.22927375599557398,-0.0531399950020911,0.44462121601826654,0.05274827143702919,2041166066.0,-11.03356535,-0.5820015
BNTAS (TRY),0.3819968862544807,-0.0870276170771413,-0.09098977158990222,0.0,0.008004038909908737,0.51061027674823,0.19425612024022204,0.0092035953116103,-0.6992581558498402,-78267119.0,1.8012662242894057,-1.2595500981912144
TCKRC (TRY),0.8299880163937847,-0.06945317328458438,-0.02542059950182294,0.0,0.014016515188632886,0.31454422585909203,0.11338874847126834,0.13308351448140057,-0.5438864341299666,370174144.0,2.535154370588235,-1.3788360705882352
DOGUB (TRY),-0.43503010145856835,0.7962817406388665,0.05234872348662549,-0.0,-0.09964454787048646,1.6914287175738107,-0.2734030292918444,0.0,-0.0,-812876546.0,-0.9394553333333333,0.0
EMKEL (TRY),0.6485873630709077,-0.17950338771738097,-0.11676911884640163,-0.052446868916482745,0.02788456510012082,-0.022396292139625518,-0.006956582360972282,0.13241262161987327,-0.4741629895103657,-235579237.0,-0.07529973333333333,0.035704346666666664
CELHA (TRY),0.16983453715473937,-0.49585437433357904,-0.3648432937477313,-0.36659826383302496,0.32090403821410773,-0.45940301432012076,-0.027762908694645132,0.14048496649464368,1.7058054656312038,-120481851.0,-1.2698201830981017,-2.166066208697558
DMSAS (TRY),0.21760834007139043,-0.14651545815123487,-0.13620491931191525,-0.04806941362158437,0.20672986674394533,-0.11270271499602848,-0.03422895580303026,0.7024368611230949,0.7225823973149683,-51625347.0,-0.425559225,-0.307501605
ADEL (TRY),1.0235411114909077,-0.15618508679591125,-0.20947200504931512,-0.006831850169067037,0.05971060103998023,0.00671656900190286,0.006560323554425808,0.6953514146158337,-3.501609096760352,855839000.0,0.07174218374218375,-0.2512130832130832
OZATD (TRY),0.397742868986335,-0.09799497547162006,-0.04469980755381455,0.0,0.2741866148410022,0.32291070009342776,0.044830939231948044,0.3358844049991733,-1.1260770531304498,1736608746.0,3.1583882270497545,-3.556588507358094
KAPLM (TRY),0.294364596438959,-0.15092974593714756,-0.3668742386349636,0.0,0.18987048001966614,-0.19734879601024596,-0.04888541832427148,0.32481894200126843,0.10847501899559006,82970300.0,-5.11164695,-0.554486
CEMTS (TRY),0.29759926012348215,-0.0977468506579064,-0.1427341899693852,-0.01982434179216042,0.13855421575249782,-0.017360099568195383,-0.00469546300462389,0.12615116175215604,38.76683863369909,2339356922.0,-0.059653682,-2.312584664
KARSN (TRY),0.40131112314310313,-0.1331821356523398,-0.21575913663693616,-0.004391703342537269,0.12513109990007287,0.012722250731339101,0.0036689319872823937,1.0898534553746235,-10.977254704058828,-6370971000.0,0.06164888888888889,-0.6767355555555555
FROTO (TRY),0.1835457956296779,-0.08057055372871959,-0.09596149418505034,-0.05649783567003028,0.0980913489286986,0.35586460131035524,0.11893241881165136,1.0740576695612616,-0.8372642129649143,102623716000.0,110.7508078994614,-92.72768801117095
ISDMR (TRY),0.17234399328881395,-0.09539737940332274,-0.05463033551602553,-0.00013066730695573546,0.21013746074595427,0.748907454236232,0.08042785246226877,0.28333616632111475,-1.1939326819516307,38041012000.0,4.915175172413793,-5.868388275862069
ALVES (TRY),0.3941225133729222,-0.0702100037261286,-0.012967565882991436,0.0,0.05883180899428713,0.048906539747057526,0.026425209998308028,0.5605245599156453,-6.688716782133699,476137448.0,0.6499744875,-4.3474952625
MEKAG (TRY),0.4370484370812643,-0.2940568197819051,-0.19464528827164906,-0.022040322522424972,0.07294047863696125,-0.0969229064419415,-0.043739576672429545,0.0843051789765057,1.9692501904333743,438282774.0,-1.390239504,-2.737729408
TOASO (TRY),0.22237057045552583,-0.13647153244724955,-0.1705911729792827,-0.07775234628686647,0.23181475773812688,0.19523962723845792,0.0569653080875645,0.5923567753901926,-1.2860433685043529,22168107000.0,10.442878,-13.429994
ARCLK (TRY),0.5511726786462489,-0.10491090094331651,-0.35022966073167444,-0.020527334516062028,0.0700665185822876,0.007150943612860324,0.0042468475426129595,2.0551048191728247,-8.713912646040868,60934762000.0,2.4996477872753533,-21.781712464186775
